country,co2,consumption_co2,co2_growth_prct,co2_growth_abs,trade_co2,co2_per_capita,consumption_co2_per_capita,share_global_co2,cumulative_co2,share_global_cumulative_co2,co2_per_gdp,consumption_co2_per_gdp,co2_per_unit_energy,coal_co2,cement_co2,flaring_co2,gas_co2,oil_co2,other_industry_co2,cement_co2_per_capita,coal_co2_per_capita,flaring_co2_per_capita,gas_co2_per_capita,oil_co2_per_capita,other_co2_per_capita,trade_co2_share,share_global_cement_co2,share_global_coal_co2,share_global_flaring_co2,share_global_gas_co2,share_global_oil_co2,share_global_other_co2,cumulative_cement_co2,cumulative_coal_co2,cumulative_flaring_co2,cumulative_gas_co2,cumulative_oil_co2,cumulative_other_co2,share_global_cumulative_cement_co2,share_global_cumulative_coal_co2,share_global_cumulative_flaring_co2,share_global_cumulative_gas_co2,share_global_cumulative_oil_co2,share_global_cumulative_other_co2,total_ghg,ghg_per_capita,methane,methane_per_capita,nitrous_oxide,nitrous_oxide_per_capita,population,gdp,primary_energy_consumption,energy_per_capita,energy_per_gdp
Jordan,701.302,728.905,549.72,25.316,172.704,145.654,115.575,2.6,12815.508,1.1,22.155,14.189,8.734,6.327,54.1,,89.851,551.031,,12.292,0.673,,11.731,120.96,,934.46,7.98,0.04,,1.44,5.57,,1106.78,30.818,,790.673,10887.241,,5.76,0,,0.36,2.88,,680.74,117.111,160.2,30.406,22.84,3.811,269134744,1.96529E+12,2360.331,455432.185,98.191
Kazakhstan,13908.239,5144.526,1944.89,291.303,-1523.276,1031.217,314.231,86.86,453932.648,61.97,42.557,21.702,12.087,9177.084,120.59,523.523,1202.318,2805.76,78.97,8.869,711.081,32.44,74.342,199.692,4.81,-688.72,40.65,130.62,173.39,28.3,78.41,31.02,4314.759,326119.838,9007.011,22783.368,90627.239,1073.464,44.65,76.85,69.73,19.51,77.95,17.56,6448.77,400.529,1020.55,63.622,286.14,17.865,1474333744,9.42E+12,23264.028,1427714.95,124.454
Kenya,467.027,454.587,346.29,15.237,141.637,19.823,11.763,2.08,10812.931,1.11,11.915,5.02,6.554,25.766,50.04,,,391.227,,1.852,0.963,,,17.017,,1268.31,7.59,0.1,,,4.73,,984.17,480.986,,,9347.777,,5.93,0,,,3.22,,1426.14,46.721,738.98,20.827,352.04,9.94,1656457942,3.2344E+12,1733.644,55246.579,25.144
Kiribati,2.084,,420.44,0.06,,26.688,,0,48.566,0,,,10.017,,,,,2.084,,,,,,26.688,,,,,,,0,,,,,,48.566,,,,,,0,,1.54,16.549,0.48,5.267,0.01,0.088,4522380,,5.665,64494.788,
Kosovo,105.637,,11.43,0.504,,,,0.28,730.827,0.04,,,2.694,78.545,3.189,,,23.9,,,,,,,,,0.22,0.56,,,0.21,,19.684,553.075,,,158.068,,0.05,0.08,,,0,,,,,,,,,,241.924,,
Kuwait,2877.516,1801.199,1923.08,85.193,-242.731,1821.244,699.934,12.05,62822.865,6.12,51.403,18.809,14.257,,31.677,284.675,1010.767,1550.399,,13.567,,368.345,501.726,937.613,,-292.57,4.06,,123.99,23.45,17.07,,556.862,,13177.321,19033.521,29959.319,,2.54,,174.05,16.11,8.87,,1791.11,715.087,114.51,48.215,14.47,5.808,116923126,5.0489E+12,11326.962,5641933.753,79.031
Kuwaiti Oil Fires,477.925,,0,,,,,2.06,477.925,0.06,,,,,,26.82,,451.104,,,,,,,,,,,10.02,,4.65,,,,26.82,,451.104,,,,0.32,,0.16,,,,,,,,,,,,
Kyrgyzstan,861.764,343.468,1900.48,11.507,104.132,269.656,65.989,6.48,34938.501,4.98,21.599,16.191,2.566,409.49,32.205,5.554,86.731,327.787,,8.633,141.349,1.514,21.382,96.775,,1344.43,9.06,6.86,2.18,2.98,12.5,,1060.866,18440.103,60.529,2710.21,12504.483,,9.28,4.63,0.89,2.67,13.28,,415.55,82.423,120.72,24.261,43.24,8.592,404317019,8.20964E+11,1657.07,325691.22,112.791
Laos,178.02,160.185,1003.28,33.826,23.555,27.896,24.673,0.45,1297.43,0.04,6.419,5.149,3.721,109.677,13.2,,,55.146,,1.965,15.585,,,10.352,,1511.71,0.91,0.76,,,0.53,,79.176,343.124,,,875.132,,0.21,0.03,,,0.14,,771.27,136.564,280.42,50.477,94.45,16.905,279177104,6.8683E+11,644.954,108255.766,36.454
Latvia,950.272,420.193,1800.33,6.771,149.495,408.508,185.455,7.23,39449.406,5.82,14.802,12.586,6.879,152.303,16.03,1.559,155.241,623.09,2.057,7.117,67.006,0.619,66.161,266.749,0.852,1843.34,3.75,2.88,0.62,4.97,31.05,0.89,441.883,7895.707,63.864,4312.329,26687.823,46.764,3.62,2,0.65,4.41,33.95,0.95,40.95,14.515,66.53,28.468,47.42,20.636,354254316,1.40549E+12,1857.148,791233.674,56.361
