country,co2,consumption_co2,co2_growth_prct,co2_growth_abs,trade_co2,co2_per_capita,consumption_co2_per_capita,share_global_co2,cumulative_co2,share_global_cumulative_co2,co2_per_gdp,consumption_co2_per_gdp,co2_per_unit_energy,coal_co2,cement_co2,flaring_co2,gas_co2,oil_co2,other_industry_co2,cement_co2_per_capita,coal_co2_per_capita,flaring_co2_per_capita,gas_co2_per_capita,oil_co2_per_capita,other_co2_per_capita,trade_co2_share,share_global_cement_co2,share_global_coal_co2,share_global_flaring_co2,share_global_gas_co2,share_global_oil_co2,share_global_other_co2,cumulative_cement_co2,cumulative_coal_co2,cumulative_flaring_co2,cumulative_gas_co2,cumulative_oil_co2,cumulative_other_co2,share_global_cumulative_cement_co2,share_global_cumulative_coal_co2,share_global_cumulative_flaring_co2,share_global_cumulative_gas_co2,share_global_cumulative_oil_co2,share_global_cumulative_other_co2,total_ghg,ghg_per_capita,methane,methane_per_capita,nitrous_oxide,nitrous_oxide_per_capita,population,gdp,primary_energy_consumption,energy_per_capita,energy_per_gdp
Taiwan,9046.737,7380.756,2345.59,273.174,411.646,450.473,327.745,38.1,186288.19,18.84,42.673,11.198,12.511,4510.11,397.362,,733.354,3363.324,42.594,19.67,234.132,,33.044,161.709,1.911,269.45,71.88,45.18,,15.31,34.7,17.59,10142.344,87509.239,,9925.463,77972.068,737.449,57.46,17.37,,8.15,20.89,12.97,,,,,,,1496977889,2.36745E+13,39231.298,1807868.088,84.017
Tajikistan,489.61,,1965.67,9.451,,148.724,,3.65,20008.456,2.91,11.797,,1.207,123.734,18.476,2.088,83.492,261.823,,3.57,43.687,0.527,19.19,81.737,,,3.7,1.97,0.81,3.08,12.91,,396.799,5461.51,23.127,2863.178,11202.471,,3.39,1.35,0.34,3.04,14.25,,261.91,40.046,105.89,15.908,40.76,6.047,448853946,8.2565E+11,1608.004,241145.794,127.872
Tanzania,243.845,298.678,375.37,10.442,128.964,8.375,6.906,0.99,4903.449,0.5,7.198,3.998,6.336,12.121,25.154,0.075,23.133,183.366,,0.662,0.343,0,0.479,6.879,,2161.25,2.78,0.05,0,0.35,2.14,,347.763,144.47,0.686,181.382,4222.431,,1.59,0,0,0.09,1.32,,8246.79,228.897,1461.31,39.285,664.14,17.928,1812243322,2.50871E+12,894.908,25263.673,16.352
Thailand,7364.299,6229.329,2233.71,257.748,-6.251,118.649,95.783,26.6,123879.354,10.29,13.646,8.055,12.87,1373.764,481.816,,1678.236,3830.478,,7.927,21.165,,25.491,64.063,,71.1,66.09,11.63,,29.3,38.6,,9035.403,18818.395,,20717.485,75308.073,,44.08,2.9,,11.76,19.9,,8234.73,127.869,2082.47,32.525,500.59,7.83,3789942356,2.64454E+13,32940.893,522270.142,63.806
Timor,6.542,,147.71,0.367,,5.657,,0,49.815,0,,,3.374,,,0.287,,6.255,,,,0.244,,5.413,,,,,0.08,,0,,,,0.574,,47.806,,,,0,,0,,,,,,,,21225040,,17.401,15653.27,
Togo,66.131,112.772,757.59,2.164,63.338,14.388,18.232,0.2,1314.017,0,11.058,13.84,11.268,,20.227,,0.524,45.38,,3.918,,,0.069,10.404,,3458.55,2.46,,,0,0.45,,342.514,,,2.085,968.114,,1.49,,,0,0.25,,338.31,63.563,73.02,13.51,37.53,6.968,266417833,3.12614E+11,183.153,35756.014,27.407
Tonga,4.386,,422.48,0.136,,45.48,,0,92.356,0,,,8.261,,,,,4.386,,,,,,45.48,,,,,,,0,,,,,,92.356,,,,,,0,,4.51,46.272,2.71,27.362,1.46,14.661,6188292,,15.597,157915.28,
Trinidad and Tobago,1569.557,591.042,1224.56,35.482,-391.284,1503.924,449.315,9.87,44976.99,6.27,58.064,19.555,12.046,0.234,12.73,106.686,1022.242,427.679,,10.653,0.333,94.531,816.832,581.567,,-1134.63,2.38,0,46.33,29.02,26.46,,316.688,2.822,1527.742,18349.576,22103.917,,2,0,19.98,19.97,25.99,,549.75,422.514,26.09,20.1,8.2,6.316,96395400,1.34264E+12,6124.241,4899737.798,299.313
Tunisia,901.511,673.405,1677.67,28.131,11.68,102.675,66.511,3.68,18842.465,1.75,17.55,7.942,9.085,14.599,106.139,9.55,258.438,512.788,,11.777,2.671,0.973,25.549,61.706,,120.12,17.07,0.13,3.16,4.76,5.72,,2110.631,455.393,157.786,3560.982,12338.45,,12.61,0,1.19,2.21,3.75,,826.35,82.509,157.79,15.85,80.29,8.046,621733608,3.28275E+12,2802.804,298089.458,41.624
Turkey,10839.787,9180.139,1133.81,392.638,986.43,185.012,133.321,46.71,220105.084,23.79,22.687,8.991,14.665,4461.376,847.576,5.373,1662.906,3726.611,135.95,13.587,82.114,0.081,22.897,64.386,1.947,423.69,119.53,49.11,1.83,27.72,39.34,53.28,15344.03,101096.645,92.555,18000.304,83753.063,1818.49,84.46,21.87,0.72,9.67,23.84,29.8,7311.2,109.236,1088.42,16.532,761.79,11.587,4777506987,3.81603E+13,39101.485,619155.222,50.22
Turkmenistan,2434.766,,2014.54,75.331,,739.809,,13.19,65371.074,8.39,56.752,,8.47,80.198,36.653,6.058,1354.212,957.639,,11.428,48.33,2.109,327.612,350.335,,,9.16,1.68,2.34,34.5,46.17,,1049.974,2639.946,69.099,26587.14,32759.036,,9.14,0.93,1.05,24.63,48.86,,2263.38,478.159,913.45,194.142,80.98,17.305,326223004,1.75888E+12,7026.121,1502376.056,200.011
Turks and Caicos Islands,3.932,,209.78,0.175,,135.816,,0,43.763,0,,,8.844,,,,,3.932,,,,,,135.816,,,,,,,0,,,,,,43.763,,,,,,0,,,,,,,,818727,,11.042,365970.849,
Tuvalu,0.276,,103.23,-0.003,,27.777,,0,4.454,0,,,,,,,,0.276,,,,,,27.777,,,,,,,0,,,,,,4.454,,,,,,0,,0.52,53.572,0.27,27.695,0,0,313587,,,,
Uganda,105.596,124.353,444.08,4.788,50.028,5.166,4.056,0.36,2101.1,0.07,3.729,2.63,5.551,,7.488,,,98.103,,0.345,,,,4.819,,2386.61,1.11,,,,1.1,,133.907,,,,1967.193,,0.92,,,,0.63,,1496.81,55.768,528.35,19.111,274.2,10.219,1287858210,1.6958E+12,409.269,15845.169,12.553
Ukraine,30559.163,8047.84,1805.41,213.816,-2200.573,662.769,167.831,221.75,1213334.824,172.65,44.255,21.719,7.677,16962.372,396.737,168.646,6241.998,6677.744,111.661,8.353,377.891,3.466,128.466,142.264,2.33,-593.21,126.48,279.96,61.29,192.93,259.41,46.29,14763.48,741623.669,5009.398,176765.945,273152.442,1987.725,133.68,184.55,47.72,169.28,278.43,35.94,12224.65,251.978,3099.93,63.763,633.81,13.134,5999625142,1.61E+13,62166.236,1273765.041,158.975
United Arab Emirates,4695.478,4479.947,5411.54,150.262,708.135,1827.055,873.392,16.91,81065.762,6.84,44.538,16.556,22.64,75.602,155.328,416.947,2848.583,1199.022,,36.208,8.49,711.865,687.152,383.344,,534.78,16.29,0.51,137.73,52.75,11.4,,2115.851,436.418,17018.937,40289.772,21204.778,,8.28,0.06,182.92,24.87,4.98,,4074.14,884.925,789.08,168.207,110.93,24.176,195321454,1.0195E+13,26049.005,6891825.171,45.916
United Kingdom,78161.148,19731.769,438.35,320.23,4002.862,1690.651,324.005,11855.23,6162081.87,14321.57,176.447,9.858,12.414,56820.913,520.191,291.475,7002.509,13418.032,108.012,9.367,1323.975,4.954,116.63,233.954,1.762,794.03,332.11,12027.82,102.68,163.65,464.98,44.22,22650.029,5506956.26,7727.344,150992.612,471587.083,1741.944,393.04,14673.18,70.54,115.89,481.04,29.58,17487.48,290.728,2626.73,44.027,1026.39,17.14,9146452620,1.29559E+14,135854.212,2318248.155,96.445
United States,416723.088,174897.27,1074.99,4712.518,6969.906,2180.042,600.006,5178.99,19071137.63,4729.49,140.987,12.747,12.403,175650.185,2745.185,2253.809,76554.828,158138.196,1380.881,12.348,1122.367,9.234,322.223,707.97,5.888,121.67,4628.37,4540.65,1179.72,9557.36,7487.15,6722.21,106845.202,10323397.91,68797.919,2533305.997,5993624.364,45166.223,5389.31,4332.18,1558.7,10745.31,8214.12,7757.09,165734.57,576.64,19142.54,67.038,7073.97,24.679,26228918247,6.78965E+14,1248242.833,4785388.846,132.095
Uruguay,371.229,269.732,1812.91,5.762,91.183,124.081,80.869,2.13,12210.063,1.28,12.024,5.396,4.527,4.092,20.459,,2.65,344.033,,7.04,1.614,,0.792,114.635,,1478.4,9.81,0.03,,0,5.2,,727.19,226.67,,30.348,11208.932,,9.95,0,,0,4.55,,425.35,127.452,570.2,172.686,200.01,60.561,247839907,2.48555E+12,1682.106,518209.982,45.061
Uzbekistan,6310.345,,1931.57,112.771,,384.474,,37.81,197886.61,26.09,30.399,,7.42,553.223,165.757,33.29,3805.503,1752.584,,10.058,50.368,2.104,180.369,141.59,,,46.28,9.96,12.75,110.43,114.28,,5335.276,25143.596,382.458,89478.737,76557.026,,47.46,6.99,5.76,88.21,125.7,,5697.63,223.024,2605.15,100.857,292.94,11.269,1768216274,6.37E+12,18482.985,745690.304,159.91
Vanuatu,4.751,,356.28,0.141,,30.573,,0,114.231,0,,,7.402,0.155,,,,4.596,,,2.064,,,28.508,,,,0,,,0,,,0.548,,,105.625,,,0,,,0,,16.75,82.39,11.05,54.742,3.78,18.683,9579498,,17.205,97557.251,
Venezuela,7854.694,3993.383,104006.06,84.594,-668.994,502.656,154.044,44.31,233539.509,27.6,47.025,10.053,11.636,37.648,155.678,1385.794,2339.729,3935.845,,8.599,2.669,122.775,126.444,242.171,,-410.93,34.14,0.46,885.92,86.35,68.93,,4220.208,1297.018,57379.439,62208.897,108370.869,,30.36,0.25,1365.65,74.29,52.43,,8801.41,352.32,2066.12,82.401,339.82,13.459,1431447388,1.81846E+13,33310.627,1565458.259,166.956
Vietnam,3977.276,3201.712,1119.67,254.086,196.806,57.1,36.493,17.82,72625.031,9.21,17.808,8.434,15.655,1818.601,566.587,0.796,296.446,1294.841,,6.489,29.769,0.012,3.303,17.524,,198.01,53.35,20.26,0.5,4.68,13.46,,5307.036,40573.061,1.019,2676.521,24039.394,,26.54,9.86,0.01,1.32,7.27,,3965.57,46.236,1914.41,23.107,508.35,6.154,5324103107,1.15069E+13,13995.515,172337.563,62.038
Wallis and Futuna,0.508,,90.72,0.012,,,,0,5.293,0,,,,,,,,0.508,,,,,,,,,,,,,0,,,,,,5.293,,,,,,0,,,,,,,,263138,,,,
World,1696524.172,1407952.483,871.77,34797.92,0,400.301,259.33,27100,62777441.49,27100,7.556,4.303,13.304,788362.041,43163.195,17792.751,245231.882,592621.162,7725.986,7.762,220.212,3.536,45.107,122.051,1.179,0,14100,27100,7100,13900,16600,3100,966970.002,36955846.52,518417.153,5957013.328,18185038.88,114846.746,14100,27100,7100,13900,16600,1934.71,1119238.91,174.717,208933.68,32.845,73193.96,11.491,5.85203E+11,6.18E+14,5500334.304,979707.886,110.153
Yemen,624.651,,6743.87,9.712,,45.468,,2.7,14217.322,1.34,14.592,,8.173,4.712,22.83,,14.052,583.064,,1.301,0.185,,0.557,43.43,,,2.78,0,,0.2,6.75,,385.403,33.185,,108.228,13690.497,,1.54,0,,0.06,4.31,,671.5,34.363,167.18,8.572,74.44,3.93,903707759,3.16259E+12,2209.55,134368.911,41.741
Zambia,247.985,164.368,143.03,4.241,68.247,45.506,12.943,1.58,8811.255,1.11,29.225,6.29,2.836,117.53,16.395,,,114.06,,1.935,29.074,,,14.493,,2269.31,3.02,1.98,,,1.33,,340.783,5576.618,,,2893.856,,2.6,1.22,,,1.05,,12365.48,1117.582,2815.89,252.871,775.95,72.114,561507192,1.08462E+12,1352.089,141330.638,92.007
Zimbabwe,779.382,385.584,612.1,10.419,23.72,133.418,31.799,5.82,29364.695,4.35,48.129,17.092,8.985,610.149,20.957,,,148.274,,2.535,113.714,,,17.183,,247.72,5.11,9.54,,,1.86,,577.75,24755.444,,,4029.129,,4.59,6.14,,,1.33,,1827.53,151.876,296.52,24.495,170.07,14.06,694332096,1.06452E+12,1838.176,166206.903,70.978
